Communication Skills,Problem Solving Skills,Leadership and Ethics,Quantitative Aptitude,Logical Reasoning,Public Speaking,Marketing Skills,Human Resource Management,Legal Knowledge,Design Thinking,Creative Writing,Healthcare Procedures,Financial Accounting,Education Pedagogy,Training & Development,Hospitality Management,Nutrition & Dietetics,Media Production,Role
Beginner,Beginner,Beginner,Poor,Average,Average,Poor,Poor,Intermediate,Intermediate,Intermediate,Professional,Average,Beginner,Beginner,Intermediate,Professional,Poor,Video Editor
Professional,Professional,Poor,Intermediate,Professional,Average,Professional,Intermediate,Poor,Poor,Poor,Beginner,Intermediate,Intermediate,Average,Professional,Professional,Professional,Video Editor
Beginner,Poor,Beginner,Intermediate,Beginner,Intermediate,Poor,Intermediate,Poor,Professional,Beginner,Professional,Poor,Intermediate,Average,Average,Poor,Average,Video Editor
Intermediate,Intermediate,Intermediate,Average,Poor,Beginner,Intermediate,Intermediate,Average,Beginner,Poor,Beginner,Intermediate,Professional,Professional,Professional,Professional,Average,Video Editor
Poor,Professional,Poor,Intermediate,Beginner,Intermediate,Beginner,Beginner,Average,Intermediate,Intermediate,Professional,Intermediate,Average,Intermediate,Beginner,Poor,Professional,Video Editor
Poor,Beginner,Intermediate,Average,Average,Beginner,Intermediate,Beginner,Average,Professional,Average,Beginner,Average,Average,Professional,Intermediate,Beginner,Intermediate,Video Editor
Poor,Intermediate,Average,Intermediate,Poor,Beginner,Poor,Poor,Poor,Professional,Professional,Poor,Beginner,Poor,Average,Average,Beginner,Average,Video Editor
Average,Beginner,Intermediate,Beginner,Beginner,Poor,Intermediate,Intermediate,Intermediate,Beginner,Professional,Beginner,Poor,Beginner,Professional,Intermediate,Professional,Professional,Video Editor
Professional,Average,Poor,Professional,Beginner,Professional,Beginner,Professional,Intermediate,Beginner,Beginner,Beginner,Poor,Beginner,Intermediate,Average,Average,Average,Video Editor
Professional,Professional,Average,Professional,Average,Intermediate,Professional,Average,Professional,Beginner,Poor,Average,Professional,Poor,Professional,Professional,Poor,Beginner,Video Editor
Average,Beginner,Professional,Beginner,Intermediate,Intermediate,Poor,Beginner,Professional,Poor,Intermediate,Professional,Beginner,Beginner,Intermediate,Beginner,Intermediate,Professional,Video Editor
Intermediate,Poor,Professional,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Beginner,Professional,Poor,Poor,Average,Beginner,Average,Intermediate,Poor,Poor,Video Editor
Poor,Poor,Intermediate,Poor,Intermediate,Intermediate,Professional,Poor,Poor,Professional,Intermediate,Beginner,Beginner,Professional,Beginner,Poor,Poor,Intermediate,Video Editor
Poor,Intermediate,Poor,Average,Beginner,Beginner,Beginner,Average,Intermediate,Beginner,Intermediate,Poor,Poor,Beginner,Intermediate,Average,Average,Intermediate,Video Editor
Average,Intermediate,Beginner,Intermediate,Poor,Average,Poor,Average,Professional,Professional,Beginner,Beginner,Intermediate,Beginner,Professional,Beginner,Beginner,Professional,Video Editor
Beginner,Average,Poor,Intermediate,Beginner,Professional,Professional,Beginner,Beginner,Beginner,Beginner,Average,Poor,Poor,Poor,Professional,Professional,Intermediate,Video Editor
Intermediate,Professional,Average,Professional,Poor,Professional,Average,Beginner,Professional,Average,Beginner,Professional,Average,Beginner,Intermediate,Poor,Intermediate,Professional,Video Editor
Beginner,Professional,Average,Average,Average,Professional,Professional,Beginner,Average,Poor,Average,Intermediate,Poor,Professional,Poor,Beginner,Average,Intermediate,Video Editor
Beginner,Intermediate,Professional,Poor,Average,Average,Intermediate,Beginner,Professional,Professional,Professional,Intermediate,Intermediate,Intermediate,Beginner,Poor,Intermediate,Average,Video Editor
Intermediate,Professional,Beginner,Beginner,Average,Poor,Professional,Intermediate,Average,Average,Average,Beginner,Professional,Intermediate,Professional,Beginner,Poor,Beginner,Video Editor
Intermediate,Average,Average,Poor,Professional,Average,Professional,Average,Average,Intermediate,Intermediate,Intermediate,Average,Poor,Poor,Average,Beginner,Intermediate,Video Editor
Poor,Average,Intermediate,Average,Poor,Poor,Professional,Intermediate,Poor,Beginner,Average,Beginner,Intermediate,Professional,Beginner,Beginner,Beginner,Professional,Video Editor
Intermediate,Poor,Beginner,Professional,Professional,Professional,Average,Intermediate,Average,Average,Professional,Intermediate,Intermediate,Average,Beginner,Professional,Poor,Poor,Video Editor
Professional,Intermediate,Professional,Intermediate,Professional,Intermediate,Professional,Beginner,Poor,Intermediate,Average,Intermediate,Average,Average,Beginner,Professional,Beginner,Poor,Video Editor
Professional,Average,Professional,Beginner,Professional,Poor,Intermediate,Professional,Average,Average,Intermediate,Average,Professional,Professional,Professional,Poor,Professional,Poor,Video Editor
Poor,Average,Poor,Intermediate,Intermediate,Poor,Poor,Intermediate,Professional,Intermediate,Intermediate,Average,Professional,Beginner,Professional,Average,Intermediate,Average,Video Editor
Intermediate,Intermediate,Poor,Beginner,Professional,Intermediate,Poor,Professional,Beginner,Professional,Intermediate,Poor,Poor,Average,Average,Beginner,Beginner,Poor,Video Editor
Professional,Beginner,Average,Beginner,Intermediate,Intermediate,Professional,Poor,Average,Poor,Professional,Average,Poor,Intermediate,Average,Average,Professional,Beginner,Video Editor
Average,Intermediate,Beginner,Professional,Beginner,Beginner,Professional,Poor,Average,Professional,Poor,Poor,Intermediate,Poor,Average,Professional,Professional,Professional,Video Editor
Professional,Poor,Beginner,Beginner,Professional,Professional,Beginner,Poor,Intermediate,Beginner,Intermediate,Poor,Professional,Average,Beginner,Professional,Average,Beginner,Video Editor
Average,Intermediate,Poor,Beginner,Average,Intermediate,Average,Intermediate,Poor,Poor,Intermediate,Average,Beginner,Average,Intermediate,Beginner,Intermediate,Professional,Video Editor
Intermediate,Beginner,Poor,Intermediate,Professional,Intermediate,Intermediate,Beginner,Poor,Average,Beginner,Beginner,Poor,Beginner,Beginner,Intermediate,Beginner,Professional,Video Editor
Intermediate,Poor,Poor,Intermediate,Poor,Beginner,Professional,Intermediate,Poor,Average,Intermediate,Poor,Professional,Beginner,Professional,Poor,Intermediate,Intermediate,Video Editor
Average,Average,Intermediate,Professional,Poor,Professional,Poor,Beginner,Intermediate,Professional,Professional,Intermediate,Average,Intermediate,Average,Intermediate,Intermediate,Average,Video Editor
Professional,Beginner,Beginner,Professional,Beginner,Professional,Poor,Poor,Intermediate,Intermediate,Professional,Poor,Average,Poor,Average,Intermediate,Beginner,Beginner,Video Editor
Professional,Beginner,Poor,Average,Professional,Average,Beginner,Average,Professional,Average,Poor,Beginner,Beginner,Professional,Poor,Professional,Professional,Beginner,Video Editor
Intermediate,Beginner,Average,Intermediate,Average,Intermediate,Professional,Poor,Poor,Average,Professional,Beginner,Intermediate,Poor,Beginner,Poor,Poor,Intermediate,Video Editor
Intermediate,Beginner,Poor,Poor,Average,Poor,Professional,Beginner,Intermediate,Average,Poor,Beginner,Average,Professional,Beginner,Beginner,Poor,Intermediate,Video Editor
Intermediate,Beginner,Professional,Average,Professional,Poor,Average,Intermediate,Average,Beginner,Poor,Beginner,Intermediate,Intermediate,Professional,Beginner,Professional,Average,Video Editor
Poor,Poor,Poor,Beginner,Poor,Intermediate,Poor,Professional,Poor,Beginner,Professional,Poor,Professional,Professional,Intermediate,Professional,Professional,Poor,Video Editor
Poor,Professional,Poor,Poor,Average,Average,Beginner,Intermediate,Professional,Intermediate,Beginner,Beginner,Poor,Poor,Professional,Beginner,Intermediate,Intermediate,Video Editor
Intermediate,Professional,Beginner,Intermediate,Professional,Professional,Beginner,Average,Intermediate,Average,Average,Beginner,Poor,Average,Beginner,Beginner,Professional,Poor,Video Editor
Poor,Beginner,Professional,Intermediate,Intermediate,Poor,Poor,Professional,Average,Intermediate,Intermediate,Intermediate,Professional,Professional,Poor,Average,Beginner,Poor,Video Editor
Beginner,Beginner,Professional,Intermediate,Beginner,Professional,Professional,Intermediate,Average,Poor,Professional,Professional,Poor,Average,Beginner,Professional,Beginner,Professional,Video Editor
Intermediate,Average,Beginner,Poor,Beginner,Poor,Beginner,Professional,Beginner,Professional,Intermediate,Professional,Average,Average,Intermediate,Poor,Average,Intermediate,Video Editor
Poor,Professional,Beginner,Professional,Poor,Average,Beginner,Beginner,Poor,Professional,Intermediate,Professional,Average,Poor,Poor,Average,Poor,Intermediate,Video Editor
Poor,Beginner,Poor,Intermediate,Professional,Beginner,Intermediate,Poor,Intermediate,Professional,Professional,Beginner,Poor,Professional,Professional,Poor,Average,Average,Video Editor
Poor,Poor,Professional,Intermediate,Beginner,Intermediate,Poor,Professional,Intermediate,Average,Professional,Average,Intermediate,Average,Beginner,Poor,Poor,Average,Video Editor
Beginner,Poor,Intermediate,Poor,Beginner,Intermediate,Beginner,Average,Beginner,Professional,Professional,Average,Beginner,Professional,Average,Average,Poor,Average,Video Editor
Poor,Poor,Beginner,Intermediate,Intermediate,Professional,Professional,Professional,Professional,Poor,Average,Poor,Beginner,Professional,Average,Beginner,Professional,Intermediate,Video Editor
Professional,Intermediate,Average,Professional,Intermediate,Poor,Professional,Average,Poor,Poor,Average,Professional,Poor,Poor,Poor,Intermediate,Average,Beginner,Video Editor
Intermediate,Poor,Average,Poor,Beginner,Intermediate,Professional,Poor,Beginner,Poor,Intermediate,Poor,Professional,Beginner,Beginner,Average,Intermediate,Beginner,Video Editor
Intermediate,Intermediate,Intermediate,Professional,Poor,Average,Poor,Beginner,Average,Professional,Poor,Poor,Professional,Professional,Beginner,Beginner,Average,Professional,Video Editor
Professional,Poor,Intermediate,Professional,Beginner,Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,Intermediate,Average,Beginner,Intermediate,Professional,Average,Video Editor
Average,Intermediate,Beginner,Professional,Beginner,Beginner,Poor,Beginner,Beginner,Poor,Beginner,Intermediate,Professional,Intermediate,Poor,Intermediate,Professional,Professional,Video Editor
Average,Professional,Professional,Average,Beginner,Professional,Beginner,Beginner,Poor,Intermediate,Average,Poor,Average,Poor,Beginner,Professional,Professional,Professional,Video Editor
Average,Beginner,Intermediate,Professional,Beginner,Beginner,Professional,Average,Beginner,Poor,Poor,Average,Poor,Poor,Intermediate,Beginner,Average,Professional,Video Editor
Intermediate,Poor,Beginner,Professional,Professional,Professional,Poor,Intermediate,Intermediate,Beginner,Professional,Average,Professional,Average,Intermediate,Poor,Beginner,Intermediate,Video Editor
Intermediate,Intermediate,Poor,Beginner,Poor,Intermediate,Professional,Intermediate,Average,Professional,Average,Intermediate,Intermediate,Poor,Intermediate,Professional,Poor,Beginner,Video Editor
Beginner,Beginner,Average,Average,Beginner,Poor,Intermediate,Average,Intermediate,Average,Poor,Beginner,Poor,Average,Beginner,Intermediate,Average,Average,Video Editor
Average,Average,Intermediate,Average,Beginner,Professional,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Average,Average,Average,Beginner,Intermediate,Intermediate,Video Editor
Beginner,Poor,Intermediate,Professional,Beginner,Professional,Beginner,Beginner,Intermediate,Poor,Professional,Intermediate,Intermediate,Average,Beginner,Poor,Poor,Intermediate,Video Editor
Beginner,Average,Professional,Poor,Professional,Average,Professional,Poor,Professional,Average,Intermediate,Beginner,Poor,Beginner,Beginner,Beginner,Poor,Intermediate,Video Editor
Poor,Average,Poor,Professional,Average,Professional,Intermediate,Poor,Average,Professional,Average,Poor,Poor,Professional,Poor,Professional,Intermediate,Average,Video Editor
Average,Intermediate,Poor,Beginner,Professional,Intermediate,Poor,Intermediate,Poor,Intermediate,Professional,Poor,Professional,Average,Beginner,Intermediate,Poor,Intermediate,Video Editor
Beginner,Average,Average,Poor,Intermediate,Intermediate,Poor,Average,Intermediate,Professional,Beginner,Professional,Professional,Poor,Intermediate,Average,Poor,Professional,Video Editor
Average,Beginner,Beginner,Intermediate,Beginner,Professional,Professional,Professional,Intermediate,Beginner,Intermediate,Professional,Poor,Intermediate,Poor,Intermediate,Professional,Beginner,Video Editor
Poor,Poor,Poor,Average,Poor,Professional,Professional,Intermediate,Average,Poor,Professional,Average,Average,Intermediate,Professional,Professional,Intermediate,Intermediate,Video Editor
Professional,Beginner,Intermediate,Intermediate,Professional,Poor,Professional,Average,Professional,Intermediate,Professional,Poor,Beginner,Beginner,Average,Intermediate,Professional,Poor,Video Editor
Beginner,Intermediate,Poor,Poor,Intermediate,Intermediate,Poor,Professional,Poor,Average,Poor,Poor,Intermediate,Beginner,Intermediate,Average,Average,Intermediate,Video Editor
Intermediate,Professional,Professional,Intermediate,Poor,Beginner,Average,Beginner,Average,Beginner,Intermediate,Poor,Poor,Beginner,Professional,Average,Poor,Intermediate,Video Editor
Average,Average,Poor,Intermediate,Average,Beginner,Average,Average,Average,Professional,Average,Average,Professional,Intermediate,Poor,Beginner,Professional,Professional,Video Editor
Intermediate,Professional,Beginner,Professional,Intermediate,Average,Average,Intermediate,Poor,Poor,Intermediate,Average,Poor,Average,Beginner,Poor,Average,Intermediate,Video Editor
Intermediate,Intermediate,Intermediate,Poor,Poor,Intermediate,Beginner,Intermediate,Professional,Average,Poor,Intermediate,Professional,Intermediate,Beginner,Poor,Average,Average,Video Editor
Poor,Professional,Beginner,Average,Beginner,Beginner,Intermediate,Poor,Average,Average,Beginner,Professional,Average,Professional,Average,Intermediate,Average,Average,Video Editor
Average,Average,Intermediate,Beginner,Poor,Beginner,Professional,Professional,Average,Intermediate,Average,Intermediate,Intermediate,Professional,Professional,Beginner,Intermediate,Beginner,Video Editor
Poor,Poor,Poor,Poor,Professional,Professional,Professional,Poor,Professional,Average,Professional,Intermediate,Intermediate,Average,Beginner,Professional,Beginner,Professional,Video Editor
Intermediate,Professional,Beginner,Beginner,Poor,Average,Average,Average,Poor,Beginner,Average,Professional,Intermediate,Beginner,Intermediate,Intermediate,Average,Intermediate,Video Editor
Intermediate,Beginner,Intermediate,Professional,Professional,Average,Average,Intermediate,Professional,Average,Beginner,Average,Intermediate,Intermediate,Beginner,Average,Intermediate,Average,Video Editor
